date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:44	58849/58849	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:31:14%20GMT	https://top20.hanhtrinhlotxac.vn/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/index.html	(from )
14:32:44	76/76	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Sep%202020%2007:33:08%20GMT	https://top20.hanhtrinhlotxac.vn/robots.txt		(from )
14:32:44	171191/171191	---M--	200	added ('OK')	image/jpeg	etag:%225f6c1979-29cb7%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/thumb-top2x.jpg	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/thumb-top2x.jpg	(from https://top20.hanhtrinhlotxac.vn/)
14:32:44	71390/71390	---MCZ	200	added ('OK')	text/css	etag:W/%225f69a424-116de%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/css/style.css?ver=8	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/css/style5055.css	(from https://top20.hanhtrinhlotxac.vn/)
14:32:44	10101/10101	---M--	200	added ('OK')	image/png	etag:%225f6c72df-2775%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/images/logo.png?ver=58	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/images/logo1f4a.png	(from https://top20.hanhtrinhlotxac.vn/)
14:32:45	986/986	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223da-5af8d283eb100%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/images/heart.svg	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/images/heart.svg	(from https://top20.hanhtrinhlotxac.vn/)
14:32:45	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Sep%202020%2007:33:10%20GMT	https://top20.hanhtrinhlotxac.vn/www.benhvienthammykangnam.vn	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/www.benhvienthammykangnam.vn	(from https://top20.hanhtrinhlotxac.vn/)
14:32:46	30502/30502	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:10%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/do-thi-binh/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/do-thi-binh/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:47	7936/7936	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f487330-1f00%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/js/lib-min.js	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/js/lib-min.js	(from https://top20.hanhtrinhlotxac.vn/)
14:32:47	31243/31243	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:10%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/mac-thi-thai/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/mac-thi-thai/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:47	31740/31740	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:10%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:47	30898/30898	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:10%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/tran-thi-thu-hien/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/tran-thi-thu-hien/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:48	32120/32120	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3a4ce3-7d78%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/dist/tiny.slider.min.js	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/dist/tiny.slider.min.js	(from https://top20.hanhtrinhlotxac.vn/)
14:32:48	30312/30312	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:12%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/thi-ty/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/thi-ty/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:48	4934/4934	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6dad55-1346%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/js/setup.js?ver=5	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/template_trang_chu_moi_nhat/media/js/setupb52e.js	(from https://top20.hanhtrinhlotxac.vn/)
14:32:48	34465/34465	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:13%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/tran-thanh-hien/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/tran-thanh-hien/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:48	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/New%20folder%20(3)/test/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://top20.hanhtrinhlotxac.vn/)
14:32:49	33380/33380	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2007:33:13%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/vu-thi-my/	D:/New%20folder%20(3)/test/top20.hanhtrinhlotxac.vn/baiduthi/vu-thi-my/index.html	(from https://top20.hanhtrinhlotxac.vn/)
14:32:49	137749/137749	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Sep%202020%2007:32:50%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/New%20folder%20(3)/test/connect.facebook.net/en_US/fbevents.js	(from https://top20.hanhtrinhlotxac.vn/)
